2025-01-30 13:39:37,577 - INFO - Connecting to 149.154.167.92:443/TcpFull...
2025-01-30 13:39:37,672 - INFO - Connection to 149.154.167.92:443/TcpFull complete!
2025-01-30 13:39:38,903 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:39,488 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:39,964 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:40,370 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:41,208 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:41,690 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:42,086 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:42,564 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:43,342 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:43,829 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:44,806 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:45,306 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:45,852 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:46,408 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:46,838 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:47,368 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:47,761 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:48,159 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:48,646 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:49,085 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:49,708 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:50,083 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:50,529 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:51,032 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:51,757 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:52,197 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:52,832 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:53,681 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:55,018 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:55,580 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:56,030 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:56,505 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:56,925 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:57,295 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:57,798 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:58,695 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:59,184 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:39:59,589 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:00,208 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:01,108 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:01,520 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:02,104 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:02,753 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:03,813 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:04,752 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:05,544 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:06,953 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:08,244 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:08,914 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:09,463 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:10,288 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:10,706 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:11,211 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:12,038 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:12,519 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:13,022 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:14,095 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:14,736 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:15,244 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:16,247 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:17,497 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:18,351 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:19,679 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:20,264 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:21,627 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:22,510 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:23,131 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:23,712 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:24,403 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:25,311 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:26,275 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:27,187 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:28,403 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:29,402 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:29,935 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:30,851 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:31,451 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:31,966 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:32,600 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:33,316 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:34,487 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:35,599 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:36,764 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:38,063 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:38,746 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:39,497 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:40,328 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:41,744 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:42,793 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:44,093 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:44,526 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:45,958 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:47,557 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:49,158 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:50,007 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:50,739 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:51,588 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:52,404 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:53,254 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:53,420 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:54,122 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:55,052 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:55,862 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:56,626 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:57,649 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:58,312 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:59,475 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:00,709 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:02,152 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:03,616 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:04,412 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:05,672 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
