Image,Class ID,Confidence,x_center,y_center,width,height
@EAHCI_2155.jpg,76,0.278768,0.669531,0.370313,0.198437,0.538542
@EAHCI_2155.jpg,0,0.439572,0.485547,0.499479,0.971094,0.984375
@DoctorsET_577.jpg,27,0.255653,0.0398437,0.347222,0.0234375,0.0972222
@DoctorsET_577.jpg,56,0.316425,0.539062,0.520833,0.310937,0.372222
@DoctorsET_577.jpg,27,0.618466,0.034375,0.323611,0.0171875,0.0555556
@DoctorsET_577.jpg,0,0.671469,0.8,0.420139,0.11875,0.431944
@DoctorsET_577.jpg,0,0.889806,0.05,0.575,0.0984375,0.819444
@DoctorsET_577.jpg,56,0.922302,0.254687,0.754167,0.2,0.480556
@DoctorsET_577.jpg,56,0.925083,0.797656,0.748611,0.195312,0.494444
@EAHCI_1946.jpg,0,0.281944,0.366142,0.455,0.137795,0.3925
@EAHCI_1946.jpg,0,0.298242,0.0738189,0.321875,0.0885827,0.12125
@EAHCI_1946.jpg,0,0.411913,0.625984,0.321875,0.129921,0.13875
@EAHCI_1946.jpg,0,0.459334,0.0403543,0.465,0.0807087,0.375
@EAHCI_1946.jpg,0,0.491322,0.406496,0.303125,0.0649606,0.07375
@EAHCI_1946.jpg,0,0.744228,0.427165,0.470625,0.165354,0.37375
@EAHCI_1946.jpg,0,0.774276,0.579724,0.475625,0.179134,0.38125
@EAHCI_1946.jpg,0,0.78665,0.137795,0.4725,0.173228,0.36
@EAHCI_1946.jpg,0,0.802974,0.875984,0.509375,0.244094,0.45375
@EAHCI_1946.jpg,0,0.809952,0.728346,0.494375,0.188976,0.41125
@EAHCI_1946.jpg,0,0.874431,0.283465,0.465625,0.181102,0.38125
@lobelia4cosmetics_14679.jpg,39,0.421528,0.583594,0.55473,0.284375,0.863956
@lobelia4cosmetics_14896.jpg,43,0.4199,0.577344,0.744531,0.325,0.210938
@EAHCI_2205.jpg,0,0.293861,0.318981,0.412963,0.0601852,0.164198
@EAHCI_2205.jpg,25,0.295973,0.929167,0.308642,0.139815,0.120988
@EAHCI_2205.jpg,26,0.36319,0.627778,0.619136,0.062963,0.107407
@EAHCI_2205.jpg,0,0.371203,0.486574,0.395679,0.0564815,0.137037
@EAHCI_2205.jpg,0,0.37141,0.922222,0.678395,0.151852,0.630864
@EAHCI_2205.jpg,0,0.372105,0.39213,0.38642,0.0527778,0.153086
@EAHCI_2205.jpg,0,0.381205,0.824074,0.438889,0.0740741,0.230864
@EAHCI_2205.jpg,0,0.588488,0.703241,0.387654,0.0564815,0.125926
@EAHCI_2205.jpg,0,0.637974,0.369444,0.673457,0.116667,0.620988
@EAHCI_2205.jpg,0,0.63862,0.8625,0.67284,0.139815,0.62963
@EAHCI_2205.jpg,0,0.690328,0.667593,0.657407,0.112963,0.601235
@EAHCI_2205.jpg,0,0.690638,0.562037,0.659877,0.146296,0.650617
@EAHCI_2205.jpg,0,0.703737,0.455556,0.659259,0.109259,0.609877
@EAHCI_2205.jpg,0,0.727093,0.752778,0.660494,0.109259,0.577778
@EAHCI_2205.jpg,0,0.850989,0.259722,0.674074,0.15463,0.649383
@EAHCI_2205.jpg,0,0.862433,0.116667,0.661111,0.225926,0.67284
@lobelia4cosmetics_14581.jpg,44,0.318225,0.758278,0.621123,0.161148,0.320532
@EAHCI_2234.jpg,0,0.275054,0.0398437,0.654688,0.0796875,0.690625
@EAHCI_2234.jpg,55,0.303032,0.428125,0.466406,0.240625,0.185937
@EAHCI_2234.jpg,0,0.314696,0.0390625,0.611719,0.078125,0.295312
@EAHCI_2234.jpg,0,0.321705,0.3125,0.560938,0.196875,0.790625
